"";"nutrient";"mgL";"belowLimit"
"692";"SO4";25,71;FALSE
"693";"Fe";0,02968;FALSE
"694";"Zn";NA;NA
"695";"Cu";0,005;TRUE
"696";"Mn";0,02;TRUE
"697";"B";0,07324;FALSE
"698";"Mo";NA;NA
"699";"Ni";0,001;TRUE
"700";"Na";16,91;FALSE
"701";"Cl";22,12;FALSE
"702";"Al";0,004;TRUE
"703";"TOC";1,3;FALSE
"704";"NH4";10;TRUE
"705";"NO2";0,2;TRUE
"706";"NO3";10,94;FALSE
"707";"PO4";0,4;TRUE
"708";"K";1;TRUE
"709";"Ca";68,42;FALSE
"710";"Mg";30,7;FALSE
"711";"SO4";32,22;FALSE
"712";"Fe";0,02217;FALSE
"713";"Zn";NA;NA
"714";"Cu";0,005;TRUE
"715";"Mn";0,0771;FALSE
"716";"B";0,05126;FALSE
"717";"Mo";NA;NA
"718";"Ni";0,00249;FALSE
"719";"Na";14,07;FALSE
"720";"Cl";15,4;FALSE
"721";"Al";0,004;TRUE
"722";"TOC";0,73;FALSE
"723";"NH4";10;TRUE
"724";"NO2";0,2;TRUE
"725";"NO3";2,71;FALSE
"726";"PO4";0,4;TRUE
"727";"K";2,05;FALSE
"728";"Ca";114,28;FALSE
"729";"Mg";26,63;FALSE
"730";"SO4";33,2;FALSE
"731";"Fe";0,0814;FALSE
"732";"Zn";NA;NA
"733";"Cu";0,005;TRUE
"734";"Mn";0,02;TRUE
"735";"B";0,20017;FALSE
"736";"Mo";NA;NA
"737";"Ni";0,00198;FALSE
"738";"Na";18,07;FALSE
"739";"Cl";21,6;FALSE
"740";"Al";0,004;TRUE
"741";"TOC";0,25;TRUE
"742";"NH4";10;TRUE
"743";"NO2";0,2;TRUE
"744";"NO3";2,66;FALSE
"745";"PO4";0,4;TRUE
"746";"K";2,68;FALSE
"747";"Ca";129,7;FALSE
"748";"Mg";30,37;FALSE
"749";"SO4";39,32;FALSE
"750";"Fe";0,12141;FALSE
"751";"Zn";NA;NA
"752";"Cu";0,005;TRUE
"753";"Mn";0,0405;FALSE
"754";"B";0,20181;FALSE
"755";"Mo";NA;NA
"756";"Ni";0,00239;FALSE
"757";"Na";20,03;FALSE
"758";"Cl";23,45;FALSE
"759";"Al";0,00991;FALSE
"760";"TOC";0,25;TRUE
"761";"NH4";0,1;TRUE
"762";"NO2";0,04;TRUE
"763";"NO3";NA;NA
"764";"PO4";NA;NA
"765";"K";NA;NA
"766";"Ca";26;FALSE
"767";"Mg";4,8;FALSE
"768";"SO4";NA;NA
"769";"Fe";0,0545;FALSE
"770";"Zn";NA;NA
"771";"Cu";1e-04;TRUE
"772";"Mn";0,01;TRUE
"773";"B";NA;NA
"774";"Mo";NA;NA
"775";"Ni";0,006;TRUE
"776";"Na";NA;NA
"777";"Cl";NA;NA
"778";"Al";0,019;FALSE
"779";"TOC";NA;NA
"780";"NH4";0,01;TRUE
"781";"NO2";0,008;TRUE
"782";"NO3";6,8;FALSE
