Id;Type;Month;Pond;C14:0;C14:1;C16:0;C18:0;C18:1;LIN;GLA;ALA;SDA;ARA;EPA;DHA;FAME;LCPUFA;SCPUFA;SFA;MUFA;PUFA;BFA;TFA;n3;n6;dw;filter;;;;TL
B19;Insect;June;Kieb;1.293034675;0.025936722;13.6571345;7.939984801;12.34675203;3.132478395;0.199439359;6.258090654;0.403740493;2.814316993;14.35225125;2.885317106;72.11;21.29467845;10.37284714;24.4044296;14.9971034;31.66752559;4.394103913;0.133581603;24.91735209;6.750173502;;;;;;
B20;Insect;June;Kieb;3.190727681;0;21.28013235;10.58538932;6.806989997;10.03125673;0.579515083;25.43238693;0.714345885;1.745367771;10.08740427;0;99.61;12.6412211;37.51014935;35.83843045;11.86419984;50.15137045;4.43806743;0.168638883;36.85971776;13.29165271;;;;;;
B4;Insect;June;NL;0.637878434;0;8.091847805;4.603547323;5.804131916;8.7680598;0.413824791;7.391145324;0.434166649;1.759316477;3.719911178;0;46.41;5.63958033;17.3338881;14.0963713;9.052618753;22.97346843;4.037607475;0.080832194;11.65179217;11.32167625;;;;;;
B5;Insect;June;NL;0.913068582;0;13.63672752;8.13956949;8.204941198;8.242091019;0.321592773;9.65733417;0.404667895;2.375259933;6.414934556;0.040613526;64.55;9.328218158;18.92077288;24.15780866;11.30273784;28.24899103;4.723734183;0.06200728;16.85193096;11.39706007;;;;;;
B6;Insect;June;NL;1.564149728;0;16.63386806;9.787971615;9.650627365;7.466161543;0.505451174;16.43541066;0.986575615;2.768353609;10.19872051;0.09689956;83.46;13.80968182;25.82687372;29.84301038;13.07423671;39.63655553;7.295544897;0.062785219;28.22790669;11.40864885;;;;;;
B21;Insect;June;Stadt;0.94211428;0;11.04270425;6.406676316;10.14026622;4.573075359;0;6.620542466;0.320981751;2.775052453;13.74662625;0.233137522;61.83;17.24672332;11.51459958;21.21178106;11.31816607;28.7613229;9.131188604;0.345645139;21.26002773;7.501295163;;;;;;
B22;Insect;June;Stadt;1.123565093;0;12.29494081;5.067811432;6.710088672;4.170284997;0;7.088007833;2.503367931;0.999509034;3.60495575;0.053848256;47.55;4.891682729;13.76166076;19.76344576;8.396186044;18.65334349;5.091301586;0.081126598;13.44469432;5.208649168;;;;;;
B23;Insect;June;Stadt;0.586435644;0;10.40177938;5.602799349;9.288552146;5.644943695;0.171619729;3.075125916;0.108407237;1.905405014;7.415673162;0.070214782;51.1;9.805223654;9.000096577;18.42811152;12.81648464;18.80532024;6.679718364;0.167855155;10.9891922;7.816128028;;;;;;
B85;Insect;September;Dach;0.965494167;0.010781893;5.458360241;2.816342625;5.308177458;2.785300422;0.13619098;2.284364038;0.298820323;0.862149117;3.023124538;0.465463115;28.64;4.627616671;5.504675763;10.68140066;7.36420211;10.13229243;2.205320697;0.684019812;6.285360771;3.846931663;;;;;;
B86;Insect;September;Dach;1.506092662;0;9.786691842;4.104716292;7.433904516;6.957748056;0.435243561;5.446896943;1.242269071;2.104489863;6.993090403;0.437016254;54.38;10.21082695;14.08215763;17.54634317;11.61103661;24.29298458;4.044272747;0.559562776;14.50495952;9.788025064;;;;;;
B91;Insect;September;Durn;7.898464067;0.164829711;18.52005379;4.956451453;13.73496301;8.0021719;0.427389862;14.21563418;3.807278698;1.436988085;3.4639828;0;84.25;5.3889421;26.45247464;33.26086797;18.77500567;31.84141674;4.800290127;0.563925568;21.8522075;9.989209245;;;;;;
B92;Insect;September;Durn;10.44860167;0.248886362;18.38880455;4.657980532;15.73977153;10.83979047;0.704496161;17.85901973;7.338247828;2.020967465;4.684202608;0;101.02;7.562583598;36.74155418;35.33777167;20.98932894;44.30413778;5.220605071;0.673067044;30.51097767;13.79316011;;;;;;
B83;Insect;September;Eng;0.534614395;0.002917084;4.67747449;3.047771538;4.775408072;6.664647194;0.398549101;3.533587889;0.498443928;1.604534173;4.687521874;0.067181089;34.44;6.566753673;11.09522811;9.517896549;6.778365029;17.66198179;2.347541803;0.546523267;8.945703764;8.716278021;;;;;;
B84;Insect;September;Eng;2.490100194;0.042087163;10.75662962;3.961353301;8.036732092;7.026326506;0.245809875;4.000818769;0.385997946;1.851797088;4.253014256;0.07037624;56.39;7.713643181;11.6589531;20.46775735;14.57136095;19.37259628;8.000152352;0.735530746;9.009459311;10.36313697;;;;;;
B87;Insect;September;Ger;2.456623419;0.077975326;15.19160044;4.327256412;11.49890485;5.114271965;0.166455025;10.62937983;0.498728064;0.69438909;3.126400352;0;61.34;3.962956361;16.40883488;23.3143183;16.981757;20.37179125;4.926306736;0.494429043;14.36964427;6.00214698;;;;;;
B88;Insect;September;Ger;2.345282064;0.040539266;13.60029821;4.823548556;7.257208719;6.935503734;0.558626722;6.079946656;1.082762359;1.698756274;7.246856701;0.068946171;61.03;9.593738304;14.65683947;23.08050261;12.45374933;24.25057777;4.855839026;0.781829107;14.89430033;9.356277448;;;;;;
B89;Insect;September;Ger;0.817018479;0.028694504;8.969428339;2.422285189;4.869154819;5.577562183;0.226235695;7.367624862;0.933679827;0.895675908;6.860483697;0.091315786;44.99;8.521232069;14.10510257;13.47065019;8.189211238;22.62633464;2.894387118;0.458707892;15.61914468;7.007189957;;;;;;
B78;Insect;September;Herr;0.977734851;0;5.881513304;2.364919244;6.187389778;3.981728093;0.403825842;3.478848021;0.586291492;0.831111639;4.783222637;0;33.24;5.757462127;8.450693448;10.30266527;8.406399687;14.20815558;3.930635865;0.686931183;8.915745739;5.292409837;;;;;;
B79;Insect;September;Herr;0.870136821;0;7.02921877;2.872852874;6.505282199;4.576900488;0.578915991;3.712002229;0.914168439;1.12995392;4.807871939;0;38.03;6.14592057;9.781987146;11.77888828;9.767338245;15.92790772;3.530000761;0.50160606;9.520378069;6.407529648;;;;;;
B80;Insect;September;Herr;1.545509956;0.003995102;5.595296337;2.883653165;5.98522075;2.702415215;0.141446845;2.879713273;0.47045745;0.411966019;3.123835287;0.062854652;30.01;3.845068564;6.194032783;10.93691581;8.627327821;10.03910135;4.058214901;0.57801634;6.617402588;3.421698758;;;;;;
B75;Insect;September;Jag;0.858281445;0.0385467;6.631713893;2.676168749;6.739019871;5.074519278;0.305538032;4.558588814;1.005720607;0.605062351;5.103810178;0.159142204;39.12;6.145695329;10.94436673;11.32671061;10.15304142;17.09006206;4.023226184;0.585569497;11.03168957;6.058372487;;;;;;
B76;Insect;September;Jag;1.028418437;0.010033416;7.677219518;3.259100767;8.66419567;4.184097654;0.290590404;3.897291993;0.947363266;0.300160806;3.698897976;0.046171432;41.51;4.135474541;9.319343316;13.10710407;14.44831254;13.45481786;5.763617642;0.610973143;8.644738037;4.81007982;;;;;;
